Date,Open,High,Low,Close,Volume,Net Turnover,Market Cap
2017-06-30,312.97,313.06,309.16,310.27,7944727,2467964.93,448716.06
2017-07-03,312.11,313.58,308.25,310.51,9348790,2904674.05,449081.19
2017-07-04,312.52,320.86,312.29,319.7,19130921,6071002.11,462380.78
2017-07-05,321.39,325.44,320.16,324.36,27663253,8960156.67,469111.88
2017-07-06,325.72,326.01,323.31,324.33,13817198,4486436.86,469079.38
2017-07-07,324.44,336.74,323.76,335.26,36443733,12024673.28,484882.81
2017-07-10,344.0,348.49,334.8,335.64,3626891,1219206.53,485435.59
2017-07-11,337.48,338.24,334.33,335.98,21346060,7175215.62,485923.38
2017-07-12,337.12,342.87,336.69,339.75,17390035,5912789.5,491370.03
2017-07-13,339.22,342.87,338.63,342.22,23394410,7975612.93,494946.94
2017-07-14,341.75,345.34,340.75,344.84,20873622,7169211.9,498735.22
2017-07-17,345.57,350.65,345.57,348.89,19062465,6646109.18,504588.34
2017-07-18,347.77,348.9,339.72,341.72,19968052,6853087.74,494231.56
2017-07-19,340.08,345.79,340.08,344.66,11987031,4116718.34,498475.06
2017-07-20,346.19,348.49,342.58,343.75,13853532,4782481.41,497158.13
2017-07-21,348.49,357.87,347.36,356.36,98764123,34908155.9,515400.38
2017-07-24,359.73,365.33,356.36,363.16,44154430,16018796.54,525263.5
2017-07-25,365.29,365.34,359.19,360.22,20398009,7384713.73,521003.53
2017-07-26,360.68,366.46,359.98,364.85,22320842,8133382.66,527702.44
2017-07-27,366.03,366.82,357.11,358.56,18716701,6770132.99,518613.38
2017-07-28,357.77,361.07,354.79,358.49,14571128,5216321.54,518499.56
2017-07-31,360.17,363.96,358.83,363.15,16844008,6098027.52,525247.25
2017-08-01,364.85,364.85,357.82,360.54,12517463,4516958.72,521475.06
2017-08-02,361.98,367.76,361.56,366.3,21133259,7717586.94,529799.94
2017-08-03,365.77,374.33,363.57,371.0,20036389,7412507.65,536596.44
2017-08-04,373.9,373.9,363.13,364.71,18890050,6905703.94,527507.31
2017-08-07,366.84,366.84,362.56,363.41,9696306,3533598.72,525621.25
2017-08-08,363.78,364.47,356.77,360.31,11144291,4022476.8,521133.63
2017-08-09,360.07,364.23,356.36,359.46,10610887,3830853.38,519914.16
2017-08-10,358.17,361.23,354.78,356.22,10358252,3704143.36,515215.16
2017-08-11,348.71,355.24,344.67,347.65,17280027,6053534.72,502825.41
2017-08-14,350.97,356.25,350.97,353.67,13665003,4833153.02,511540.5
2017-08-16,353.44,354.34,348.54,352.11,13803307,4847251.97,509280.44
2017-08-17,352.76,359.21,351.0,352.34,16092973,5716789.25,509605.63
2017-08-18,351.64,354.74,349.2,354.2,8068377,2846062.85,512304.69
2017-08-21,354.56,356.17,350.8,351.73,7699996,2719841.54,508727.59
2017-08-22,353.44,355.21,349.85,350.75,9692801,3418790.4,507313.03
2017-08-23,351.83,356.71,349.2,355.7,8458952,2981782.27,514467.22
2017-08-24,357.49,358.18,351.75,352.55,12865607,4558488.58,509914.56
2017-08-28,355.02,355.68,351.01,352.21,12522045,4414602.24,509426.75
2017-08-29,351.16,352.43,344.0,344.48,15417983,5350330.37,498240.22
2017-08-30,347.94,352.72,346.53,351.66,10507449,3681230.59,508630.06
2017-08-31,354.11,359.16,353.89,358.5,25523736,9108680.7,518515.84
2017-09-01,359.7,363.47,359.51,362.0,15689548,5675773.44,523639.47
2017-09-04,363.22,367.86,358.8,362.74,21920476,7967844.86,524696.44
2017-09-05,366.48,367.57,364.47,367.06,25637761,9395875.84,530956.94
2017-09-06,365.67,371.54,364.86,369.94,49559778,18339508.22,535119.81
2017-09-07,370.08,374.35,366.48,367.87,16475473,6093238.27,518066.03
2017-09-08,368.73,370.19,365.18,367.33,13469257,4950161.41,517306.13
2017-09-11,369.31,371.81,367.18,367.78,12902137,4772966.4,517939.38
2017-09-12,369.96,370.98,367.38,370.41,6608546,2441997.82,521643.91
2017-09-13,370.53,386.67,369.63,381.77,29866806,11375039.49,537633.63
